ExpenseID,IL_originalcategory,IL_originalamt,IL_agency,ID,ExpenseID2,Year,EXP_TYPE,EXP_AMT,State
171,"Crime, gang, abuse prevention or intervention programs",0,Adams County Sheriffs Office,3008,171,2019,community programs,0,IL
172,"Crime, gang, abuse prevention or intervention programs",0,Altamont Police Department,3009,172,2019,community programs,0,IL
173,"Crime, gang, abuse prevention or intervention programs",375,Arlington Heights Police Department,3010,173,2019,community programs,375,IL
174,"Crime, gang, abuse prevention or intervention programs",4520.15,Aurora Police Department,3011,174,2019,community programs,4520,IL
175,"Crime, gang, abuse prevention or intervention programs",0,Barrington Police Department,3012,175,2019,community programs,0,IL
176,"Crime, gang, abuse prevention or intervention programs",0,Bartlett Police Department,3013,176,2019,community programs,0,IL
177,"Crime, gang, abuse prevention or intervention programs",0,Batavia Police Department,3014,177,2019,community programs,0,IL
178,"Crime, gang, abuse prevention or intervention programs",0,Bedford Park Police Department,3015,178,2019,community programs,0,IL
179,"Crime, gang, abuse prevention or intervention programs",0,Beecher Police Department,3016,179,2019,community programs,0,IL
1710,"Crime, gang, abuse prevention or intervention programs",0,Bellwood Police Department,3017,1710,2019,community programs,0,IL
1711,"Crime, gang, abuse prevention or intervention programs",0,Belvidere Police Department,3018,1711,2019,community programs,0,IL
1712,"Crime, gang, abuse prevention or intervention programs",0,Bensenville Police Department,3019,1712,2019,community programs,0,IL
1713,"Crime, gang, abuse prevention or intervention programs",0,Berwyn Police Department,3020,1713,2019,community programs,0,IL
1714,"Crime, gang, abuse prevention or intervention programs",0,Bloomingdale Police Department,3021,1714,2019,community programs,0,IL
1715,"Crime, gang, abuse prevention or intervention programs",0,Bloomington Police Department,3022,1715,2019,community programs,0,IL
1716,"Crime, gang, abuse prevention or intervention programs",0,BOLINGBROOK POLICE DEPARTMENT,3023,1716,2019,community programs,0,IL
1717,"Crime, gang, abuse prevention or intervention programs",0,Bond County Sheriff,3024,1717,2019,community programs,0,IL
1718,"Crime, gang, abuse prevention or intervention programs",0,Bond County State's Attorney's Office,3025,1718,2019,community programs,0,IL
1719,"Crime, gang, abuse prevention or intervention programs",0,Boone County Sheriff's Office,3026,1719,2019,community programs,0,IL
1720,"Crime, gang, abuse prevention or intervention programs",0,Boone County State's Attorney,3027,1720,2019,community programs,0,IL
1721,"Crime, gang, abuse prevention or intervention programs",0,Bourbonnais Police Department,3028,1721,2019,community programs,0,IL
1722,"Crime, gang, abuse prevention or intervention programs",137.5,Braidwood Police Department,3029,1722,2019,community programs,138,IL
1723,"Crime, gang, abuse prevention or intervention programs",0,Bridgeview Police Department,3030,1723,2019,community programs,0,IL
1724,"Crime, gang, abuse prevention or intervention programs",0,BRIGHTON POLICE DEPARTMENT,3031,1724,2019,community programs,0,IL
1725,"Crime, gang, abuse prevention or intervention programs",0,Broadview Police Department,3032,1725,2019,community programs,0,IL
1726,"Crime, gang, abuse prevention or intervention programs",0,Brown County Sheriff's Department,3033,1726,2019,community programs,0,IL
1727,"Crime, gang, abuse prevention or intervention programs",0,Brown County State's Attorney's Office,3034,1727,2019,community programs,0,IL
1728,"Crime, gang, abuse prevention or intervention programs",0,Buffalo Grove Police Department,3035,1728,2019,community programs,0,IL
1729,"Crime, gang, abuse prevention or intervention programs",0,Burbank Police Department,3036,1729,2019,community programs,0,IL
1730,"Crime, gang, abuse prevention or intervention programs",200,Bureau County Sheriff's Office,3037,1730,2019,community programs,200,IL
1731,"Crime, gang, abuse prevention or intervention programs",850,Bureau County State's Attorney,3038,1731,2019,community programs,850,IL
1732,"Crime, gang, abuse prevention or intervention programs",0,Burr Ridge Police Department,3039,1732,2019,community programs,0,IL
1733,"Crime, gang, abuse prevention or intervention programs",0,Calumet City Police Department,3040,1733,2019,community programs,0,IL
1734,"Crime, gang, abuse prevention or intervention programs",0,Calumet Park Police Department,3041,1734,2019,community programs,0,IL
1735,"Crime, gang, abuse prevention or intervention programs",0,Carbondale Police Department,3042,1735,2019,community programs,0,IL
1736,"Crime, gang, abuse prevention or intervention programs",0,Carlyle Police Department ,3043,1736,2019,community programs,0,IL
1737,"Crime, gang, abuse prevention or intervention programs",0,Carmi Police Department,3044,1737,2019,community programs,0,IL
1738,"Crime, gang, abuse prevention or intervention programs",0,Carol Stream Police Department,3045,1738,2019,community programs,0,IL
1739,"Crime, gang, abuse prevention or intervention programs",0,Carpentersville Police,3046,1739,2019,community programs,0,IL
1740,"Crime, gang, abuse prevention or intervention programs",0,Cary Police Department,3047,1740,2019,community programs,0,IL
1741,"Crime, gang, abuse prevention or intervention programs",0,Champaign County Sheriffs Office,3048,1741,2019,community programs,0,IL
1742,"Crime, gang, abuse prevention or intervention programs",0,Champaign County State's Attorney's Office,3049,1742,2019,community programs,0,IL
1743,"Crime, gang, abuse prevention or intervention programs",0,CHAMPAIGN POLICE DEPARTMENT,3050,1743,2019,community programs,0,IL
1744,"Crime, gang, abuse prevention or intervention programs",0,Channahon Police Department,3051,1744,2019,community programs,0,IL
1745,"Crime, gang, abuse prevention or intervention programs",0,Chatham Police Department,3052,1745,2019,community programs,0,IL
1746,"Crime, gang, abuse prevention or intervention programs",0,Chenoa Police Department,3053,1746,2019,community programs,0,IL
1747,"Crime, gang, abuse prevention or intervention programs",0,Chicago Police Department - City of Chicago,3054,1747,2019,community programs,0,IL
1748,"Crime, gang, abuse prevention or intervention programs",0,Chicago Ridge Police Department,3055,1748,2019,community programs,0,IL
1749,"Crime, gang, abuse prevention or intervention programs",0,Chillicothe Police Department,3056,1749,2019,community programs,0,IL
1750,"Crime, gang, abuse prevention or intervention programs",0,Christian County Sheriff's Office,3057,1750,2019,community programs,0,IL
1751,"Crime, gang, abuse prevention or intervention programs",0,Cicero Police Department,3058,1751,2019,community programs,0,IL
1752,"Crime, gang, abuse prevention or intervention programs",0,City of DeKalb Police Department,3059,1752,2019,community programs,0,IL
1753,"Crime, gang, abuse prevention or intervention programs",0,City of Naperville,3060,1753,2019,community programs,0,IL
1754,"Crime, gang, abuse prevention or intervention programs",0,Clinton County Sheriff's Office,3061,1754,2019,community programs,0,IL
1755,"Crime, gang, abuse prevention or intervention programs",0,Clinton Police Department,3062,1755,2019,community programs,0,IL
